City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,provideniya,64.3833,-173.3,1.06,80,100,16.09,RU,1670283910
1,port alfred,-33.5906,26.891,13.99,95,3,0.89,ZA,1670283989
2,soloma,15.7167,-91.45,15.44,98,24,1.93,GT,1670283990
3,dingle,10.9995,122.6711,25.8,84,39,4.27,PH,1670283991
4,poum,-20.2333,164.0167,27.49,79,97,6.13,NC,1670283992
5,kroya,-7.6331,109.2461,25.07,87,100,0.74,ID,1670283992
6,albany,42.6001,-73.9662,5.23,55,100,0.89,US,1670283865
7,mar del plata,-38.0023,-57.5575,24.9,85,0,7.6,AR,1670283888
8,coracora,-15.0333,-73.7833,9.16,65,91,2.31,PE,1670283993
9,san remo,43.8182,7.7612,11.29,65,58,1.79,IT,1670283994
10,butaritari,3.0707,172.7902,27.04,81,98,6.58,KI,1670283874
11,anadyr,64.75,177.4833,-3.72,92,100,16.76,RU,1670283995
12,namibe,-15.1961,12.1522,20.42,83,45,2.86,AO,1670283995
13,labuhan,-6.8844,112.2051,26.97,80,100,1.91,ID,1670283996
14,iqaluit,63.7506,-68.5145,-13.15,78,100,2.06,CA,1670283996
15,gillette,44.2911,-105.5022,-0.49,64,0,4.12,US,1670283783
16,moose factory,51.2585,-80.6094,-15.0,78,40,3.09,CA,1670283997
17,yellowknife,62.456,-114.3525,-32.47,68,20,3.6,CA,1670283997
18,kahului,20.8947,-156.47,28.01,68,20,6.69,US,1670283583
19,ahuimanu,21.4447,-157.8378,28.52,66,100,4.63,US,1670283964
20,hilo,19.7297,-155.09,28.49,75,75,3.58,US,1670283748
21,lata,40.1629,-8.3327,12.26,92,99,1.38,PT,1670283998
22,conceicao do rio verde,-21.8808,-45.0853,18.72,96,100,1.42,BR,1670283999
23,hermanus,-34.4187,19.2345,11.56,68,100,0.82,ZA,1670283872
24,nalut,30.3333,10.85,16.6,26,49,3.47,LY,1670284000
25,gamba,-2.65,10.0,25.38,86,98,2.56,GA,1670284000
26,cervo,43.6702,-7.4101,12.45,72,78,0.99,ES,1670284001
27,zemio,5.0314,25.1361,21.11,83,61,0.48,CF,1670284001
28,magadan,59.5667,150.8,-22.59,86,33,2.94,RU,1670284001
29,punta arenas,-53.15,-70.9167,9.06,43,40,8.23,CL,1670283718
30,cape town,-33.9258,18.4232,19.65,65,0,5.14,ZA,1670283784
31,fortuna,40.5982,-124.1573,12.19,82,20,0.0,US,1670283912
32,clyde river,70.4692,-68.5914,-9.87,92,100,1.54,CA,1670284003
33,cairns,-16.9167,145.7667,30.06,52,2,1.03,AU,1670283977
34,vaini,-21.2,-175.2,28.09,83,75,4.63,TO,1670283948
35,barrow,71.2906,-156.7887,-1.99,69,75,10.29,US,1670283877
36,jamestown,42.097,-79.2353,7.77,30,0,3.6,US,1670283988
37,bathsheba,13.2167,-59.5167,24.34,91,20,2.06,BB,1670283936
38,caravelas,-17.7125,-39.2481,22.43,86,97,2.65,BR,1670284004
39,ribeira grande,38.5167,-28.7,17.1,80,100,7.6,PT,1670284004
40,kaitangata,-46.2817,169.8464,13.22,51,97,3.84,NZ,1670284005
41,sioux lookout,50.1001,-91.917,-20.96,77,40,1.54,CA,1670284005
42,saran,47.9501,1.876,3.29,93,100,3.09,FR,1670284006
43,leningradskiy,69.3833,178.4167,-27.35,93,17,1.61,RU,1670284006
44,kohlu,29.8962,69.252,8.77,34,0,0.68,PK,1670283877
45,richards bay,-28.783,32.0377,20.54,81,100,6.23,ZA,1670284007
46,san policarpo,12.1791,125.5072,27.19,80,99,3.93,PH,1670284007
47,touros,-5.1989,-35.4608,26.07,75,10,5.79,BR,1670284008
48,murgab,37.4966,61.9714,-2.29,46,0,2.91,TM,1670284008
49,hobart,-42.8794,147.3294,15.14,61,75,6.69,AU,1670283808
50,ushuaia,-54.8,-68.3,6.81,53,75,9.77,AR,1670284009
51,chara,56.9064,118.2631,-19.25,76,100,1.93,RU,1670283882
52,new norfolk,-42.7826,147.0587,14.95,55,97,1.34,AU,1670284009
53,sao filipe,14.8961,-24.4956,22.53,67,28,2.03,CV,1670284010
54,east london,-33.0153,27.9116,15.31,81,2,4.22,ZA,1670283901
55,hamilton,39.1834,-84.5333,8.43,66,100,4.63,US,1670283476
56,talnakh,69.4865,88.3972,-3.77,96,100,4.16,RU,1670283947
57,ati,13.2154,18.3353,23.73,16,0,6.33,TD,1670284011
58,palmas bellas,9.2319,-80.0867,26.3,85,87,2.37,PA,1670284011
59,atuona,-9.8,-139.0333,25.32,73,84,6.33,PF,1670284012
60,barbastro,42.0356,0.1269,9.1,66,100,0.47,ES,1670284013
61,gat,31.61,34.7642,15.22,80,14,0.55,IL,1670283869
62,sawtell,-30.3833,153.1,33.44,61,40,3.09,AU,1670284013
63,busselton,-33.65,115.3333,17.44,52,0,6.34,AU,1670283904
64,ponta delgada,37.7333,-25.6667,16.4,88,20,4.12,PT,1670283989
65,puerto ayora,-0.7393,-90.3518,21.42,91,67,2.24,EC,1670283826
66,tuktoyaktuk,69.4541,-133.0374,-26.0,64,75,11.83,CA,1670284014
67,katsuura,35.1333,140.3,7.01,93,100,8.93,JP,1670284015
68,ahipara,-35.1667,173.1667,20.04,69,99,3.57,NZ,1670284015
69,porbandar,21.6422,69.6093,20.6,38,0,5.53,IN,1670283780
70,oktyabrskoye,43.0645,44.7417,-3.92,100,92,5.0,RU,1670284016
71,chokurdakh,70.6333,147.9167,-39.02,100,35,2.56,RU,1670284016
72,talaya,61.3833,152.75,-41.39,99,58,0.3,RU,1670284017
73,bluff,-46.6,168.3333,10.45,54,72,2.82,NZ,1670284017
74,rikitea,-23.1203,-134.9692,24.24,80,96,6.55,PF,1670284018
75,hithadhoo,-0.6,73.0833,27.24,75,96,3.41,MV,1670284018
76,natitingou,10.3042,1.3796,24.36,26,18,2.36,BJ,1670284018
77,flin flon,54.7682,-101.865,-27.09,63,75,1.54,CA,1670283923
78,cherskiy,68.75,161.3,-24.59,90,100,2.31,RU,1670284019
79,hirara,24.8,125.2833,20.15,83,75,14.4,JP,1670284019
80,beira,-19.8436,34.8389,26.05,94,20,3.13,MZ,1670284020
81,bethel,41.3712,-73.414,6.47,63,0,0.0,US,1670283891
82,grants,35.1473,-107.8514,11.13,43,40,2.06,US,1670284020
83,batagay-alyta,67.8006,130.4114,-27.55,99,100,1.17,RU,1670284021
84,yar-sale,66.8333,70.8333,-17.79,98,21,2.76,RU,1670284023
85,kamenka,51.3223,42.7678,-9.33,51,9,2.1,RU,1670284025
86,quatre cocos,-20.2078,57.7625,23.38,81,73,6.88,MU,1670284026
87,salalah,17.0151,54.0924,22.05,60,0,3.09,OM,1670283896
88,gopalganj,26.4667,84.4333,13.68,54,0,3.28,IN,1670283846
89,bubaque,11.2833,-15.8333,27.24,70,62,3.88,GW,1670284033
90,ancud,-41.8697,-73.8203,12.87,96,71,3.24,CL,1670284033
91,togur,58.3631,82.8265,-17.94,97,100,2.64,RU,1670284035
92,buchanan,5.8808,-10.0467,25.51,87,100,1.12,LR,1670284035
93,san lawrenz,36.0553,14.204,14.36,90,12,3.12,MT,1670284036
94,riverton,40.5219,-111.9391,3.25,80,100,2.24,US,1670284037
